Version,TestCase,Iteration,AddTimeMs,SearchTimeMs,LayoutTimeMs,PeakMemoryMB,,,,
Version1,100,1,5,0,28,0,,,,
Version1,100,2,5,0,27,0,,Add Prom,Search Prom,Layout Prom
Version1,100,3,7,1,32,0,Mia,7669.666667,1382.666667,6054.666667
Version1,500,1,11,2,43,3,Jose,7970.333333,1438.333333,7130.666667
Version1,500,2,7,1,27,3,Original,7544.333333,1401.333333,6382.333333
Version1,500,3,11,2,41,3,,,,
Version1,1000,1,42,9,84,2,,,,
Version1,1000,2,42,9,83,2,,,,
Version1,1000,3,41,9,87,2,,,,
Version1,2000,1,261,42,354,4,,,,
Version1,2000,2,290,43,312,4,,,,
Version1,2000,3,265,43,220,4,,,,
Version1,5000,1,6919,1368,5771,8,,,,
Version1,5000,2,8544,1465,6332,8,,,,
Version1,5000,3,7546,1315,6061,8,,,,
Version2,100,1,3,0,17,0,,,,
Version2,100,2,5,0,28,0,,,,
Version2,100,3,5,0,27,0,,,,
Version2,500,1,10,2,40,3,,,,
Version2,500,2,11,2,42,3,,,,
Version2,500,3,10,2,42,3,,,,
Version2,1000,1,43,9,89,2,,,,
Version2,1000,2,41,9,82,2,,,,
Version2,1000,3,42,9,86,2,,,,
Version2,2000,1,382,77,377,4,,,,
Version2,2000,2,384,78,320,4,,,,
Version2,2000,3,380,83,405,4,,,,
Version2,5000,1,7906,1314,7662,8,,,,
Version2,5000,2,8370,1518,7847,8,,,,
Version2,5000,3,7635,1483,5883,8,,,,
Version3,100,1,3,0,19,0,,,,
Version3,100,2,5,0,28,0,,,,
Version3,100,3,6,0,29,0,,,,
Version3,500,1,10,2,39,3,,,,
Version3,500,2,10,2,41,3,,,,
Version3,500,3,11,2,41,3,,,,
Version3,1000,1,41,10,87,2,,,,
Version3,1000,2,42,9,84,2,,,,
Version3,1000,3,43,10,85,2,,,,
Version3,2000,1,385,82,407,4,,,,
Version3,2000,2,383,82,303,4,,,,
Version3,2000,3,385,82,339,4,,,,
Version3,5000,1,7814,1379,7593,8,,,,
Version3,5000,2,7734,1441,5684,8,,,,
Version3,5000,3,7085,1384,5870,8,,,,
